feature,mutual_information
Pregnancy,0.3350102476739476
HbA1c,0.31477639629784604
Post_Meal_Glucose,0.24784124525644646
Random_Glucose,0.23584543519005363
Fasting_Glucose,0.192608042928351
Insulin,0.18183283106995596
BMI,0.14596368310916663
Frequent_Urination,0.018089269769770766
Water_Intake,0.01095617348158262
Diastolic_BP,0.005547199821869242
Excessive_Thirst,0.003549444237688437
Age,0.001716450475693243
Physical_Activity,0.0005519068675154393
Gender,0.0002601123444040676
Cholesterol,0.0
Systolic_BP,0.0
Triglycerides,0.0
Family_History,0.0
Blurred_Vision,0.0
