feature,mutual_information
eGFR,0.22875364500574946
Kidney_Disease_Type,0.15296065819073718
Creatinine,0.14569842516403875
Blood_Urea,0.06662618130347253
Potassium,0.04131453171394983
Swelling,0.03626323730352121
Fatigue,0.021515831570378285
Hemoglobin,0.016779149306033636
Age,0.013589115314305289
Diabetes,0.011986449482332073
Urine_Protein,0.011058260395844705
Calcium,0.004742839836090917
Hypertension,0.003993384676816314
Gender,0.00015215394578418917
Appetite_Loss,6.342621737376319e-06
Uric_Acid,0.0
Sodium,0.0
