feature,mutual_information
eGFR,0.16503012280883578
Dialysis_Risk,0.15296065819073718
Creatinine,0.14229788058741022
Urine_Protein,0.12510287852749813
Diabetes,0.10889256342890796
Blood_Urea,0.10581256742114453
Potassium,0.07121329382353192
Hypertension,0.04085063122602772
Uric_Acid,0.03144000698750071
Fatigue,0.021842433714907017
Swelling,0.01695686324352641
Hemoglobin,0.011545115475988244
Appetite_Loss,0.008043559659238753
Age,0.00359986407338031
Gender,0.0005572709558942512
Calcium,0.0005063925574009254
Sodium,0.0
