feature,importance
numerical__HbA1c,3782
numerical__Fasting_Glucose,3695
numerical__Post_Meal_Glucose,3535
numerical__Random_Glucose,3506
numerical__BMI,3169
numerical__Insulin,3121
numerical__Triglycerides,2491
numerical__Water_Intake,2265
numerical__Cholesterol,2234
numerical__Diastolic_BP,1972
numerical__Age,1908
numerical__Systolic_BP,1802
numerical__Pregnancy,971
numerical__Excessive_Thirst,273
numerical__Family_History,203
numerical__Frequent_Urination,187
categorical__Gender_Female,184
numerical__Blurred_Vision,153
categorical__Physical_Activity_Low,150
categorical__Physical_Activity_Moderate,144
categorical__Physical_Activity_High,140
categorical__Gender_Male,115
