feature,importance
numerical__Pregnancy,0.2357161783664611
numerical__HbA1c,0.13458246925885695
numerical__Insulin,0.12663758372952086
numerical__Fasting_Glucose,0.11192433288039548
numerical__Post_Meal_Glucose,0.09651741755210101
numerical__Random_Glucose,0.0886799859570263
numerical__BMI,0.06570039482134125
numerical__Water_Intake,0.020667189617583806
numerical__Triglycerides,0.0205107119011597
numerical__Cholesterol,0.01907630836881843
numerical__Systolic_BP,0.017683670045716835
numerical__Diastolic_BP,0.017670938710103997
numerical__Age,0.017421344923156435
numerical__Excessive_Thirst,0.0036776020486253462
numerical__Frequent_Urination,0.0036634596036813354
numerical__Family_History,0.0031904031483551442
categorical__Physical_Activity_Low,0.0029457349715940728
categorical__Physical_Activity_Moderate,0.0028303619937469935
categorical__Gender_Male,0.0028260320992139995
categorical__Gender_Female,0.0028045562852814848
categorical__Physical_Activity_High,0.0027405603508803477
numerical__Blurred_Vision,0.0025327633663791613
