feature,importance
numerical__Pregnancy,0.46486986
numerical__HbA1c,0.096517354
numerical__Insulin,0.0878034
numerical__Fasting_Glucose,0.058735438
numerical__Post_Meal_Glucose,0.048144687
numerical__Random_Glucose,0.042102847
numerical__BMI,0.037397046
numerical__Triglycerides,0.012925869
numerical__Diastolic_BP,0.012356122
numerical__Cholesterol,0.012265318
numerical__Water_Intake,0.012076874
numerical__Systolic_BP,0.012040534
numerical__Family_History,0.011921737
numerical__Age,0.011702207
numerical__Blurred_Vision,0.011302175
numerical__Frequent_Urination,0.011146996
categorical__Gender_Female,0.010959329
numerical__Excessive_Thirst,0.010776085
categorical__Physical_Activity_Low,0.009300689
categorical__Gender_Male,0.009100771
categorical__Physical_Activity_High,0.008677036
categorical__Physical_Activity_Moderate,0.007877757
