feature,importance
numerical__Creatinine,3252
numerical__Blood_Urea,3056
numerical__eGFR,2957
numerical__Potassium,2702
numerical__Hemoglobin,2674
numerical__Uric_Acid,2670
numerical__Sodium,2564
numerical__Calcium,2447
numerical__Age,2275
numerical__Fatigue,345
numerical__Appetite_Loss,323
numerical__Swelling,274
numerical__Hypertension,246
numerical__Diabetes,235
categorical__Gender_Female,195
categorical__Urine_Protein_+3,151
categorical__Urine_Protein_Trace,149
categorical__Urine_Protein_+2,145
categorical__Urine_Protein_Negative,131
categorical__Urine_Protein_+1,121
categorical__Gender_Male,88
