feature,importance
numerical__Creatinine,0.25106792697867164
numerical__eGFR,0.2173959373767254
numerical__Blood_Urea,0.17178677272560042
numerical__Potassium,0.09983662272695926
numerical__Uric_Acid,0.056512220151305186
numerical__Hemoglobin,0.03919500297407962
numerical__Age,0.037528547378119136
numerical__Sodium,0.03379198668513714
numerical__Calcium,0.03329856740527965
numerical__Fatigue,0.006284716725663052
numerical__Appetite_Loss,0.006087536838477384
numerical__Swelling,0.006063951037078811
numerical__Hypertension,0.005923905062109009
numerical__Diabetes,0.0057937413287994675
categorical__Gender_Male,0.004842901662854029
categorical__Gender_Female,0.004787836617427989
categorical__Urine_Protein_+2,0.00410757772973789
categorical__Urine_Protein_+1,0.003965246220496867
categorical__Urine_Protein_Negative,0.003938718436366413
categorical__Urine_Protein_Trace,0.0039043485278339994
categorical__Urine_Protein_+3,0.0038859354112775837
