feature,importance
numerical__Creatinine,0.26861656
numerical__eGFR,0.15195005
numerical__Blood_Urea,0.08632513
numerical__Potassium,0.042171463
numerical__Uric_Acid,0.035592206
numerical__Age,0.03525821
numerical__Hemoglobin,0.031188566
numerical__Fatigue,0.02912287
numerical__Calcium,0.027543668
categorical__Urine_Protein_+1,0.026672456
categorical__Urine_Protein_+3,0.026141223
numerical__Sodium,0.02611855
numerical__Swelling,0.025977273
categorical__Urine_Protein_Trace,0.025629235
numerical__Appetite_Loss,0.025592053
categorical__Urine_Protein_+2,0.025137369
categorical__Urine_Protein_Negative,0.024210967
categorical__Gender_Female,0.023844438
numerical__Diabetes,0.022877198
numerical__Hypertension,0.022605574
categorical__Gender_Male,0.017424908
