feature,importance
numerical__Troponin,6734
numerical__LDL,4895
numerical__Cholesterol,3289
numerical__Diastolic_BP,3190
numerical__Triglycerides,3078
numerical__Systolic_BP,2942
numerical__Age,2686
numerical__Heart_Rate,2488
numerical__HDL,2299
numerical__Breathlessness,988
numerical__Dizziness,855
categorical__Gender_Female,523
numerical__Chest_Pain,499
numerical__Smoking,465
numerical__Family_History,403
numerical__Obesity,377
categorical__ECG_Abnormal,257
categorical__Gender_Male,174
categorical__ECG_Normal,54
