feature,importance
numerical__Dizziness,0.22372724521165788
numerical__Chest_Pain,0.14445196447957534
numerical__Breathlessness,0.12995862492914517
numerical__LDL,0.11702420254857991
categorical__ECG_Abnormal,0.10944227405042693
numerical__Troponin,0.10525637122638183
categorical__ECG_Normal,0.09911656267294268
numerical__Cholesterol,0.010409333072707404
numerical__Triglycerides,0.009657503624078407
numerical__Heart_Rate,0.008991799585701487
numerical__Systolic_BP,0.008809233314582153
numerical__Diastolic_BP,0.008749277860527094
numerical__Age,0.008688271502180173
numerical__HDL,0.008581029853607444
numerical__Family_History,0.0016715618738316741
numerical__Obesity,0.001556700293266428
numerical__Smoking,0.0014628867026583987
categorical__Gender_Female,0.0012631161663730925
categorical__Gender_Male,0.0011820410317765835
