feature,importance
categorical__ECG_Normal,0.29599866
categorical__ECG_Abnormal,0.26836982
numerical__Chest_Pain,0.13758317
numerical__Dizziness,0.12403915
numerical__Breathlessness,0.105907
numerical__Troponin,0.023729853
numerical__LDL,0.022262909
numerical__Obesity,0.0022215887
numerical__Cholesterol,0.0020480657
numerical__Diastolic_BP,0.002013009
numerical__Triglycerides,0.0019579767
numerical__Age,0.0019079244
numerical__Systolic_BP,0.0018241749
numerical__Family_History,0.0017977676
numerical__Heart_Rate,0.0017867519
numerical__HDL,0.0017832244
categorical__Gender_Female,0.0016021834
categorical__Gender_Male,0.0015926566
numerical__Smoking,0.001574187
