feature,importance
numerical__Systolic_BP,5082
numerical__Diastolic_BP,4975
numerical__BMI,4452
numerical__Cholesterol,3876
numerical__Age,3845
numerical__Heart_Rate,3666
numerical__Oxygen_Level,3508
numerical__Alcohol,567
numerical__Family_History,467
numerical__Smoking,452
categorical__Salt_Intake_Low,367
categorical__Gender_Female,361
categorical__Salt_Intake_Moderate,358
categorical__Stress_Level_Low,348
categorical__Exercise_Moderate,346
categorical__Stress_Level_High,324
categorical__Salt_Intake_High,293
categorical__Stress_Level_Moderate,286
categorical__Exercise_High,281
categorical__Exercise_Low,234
categorical__Gender_Male,185
