feature,importance
numerical__Oxygen_Level,0.3537591428797738
numerical__Systolic_BP,0.30315462544794103
numerical__Diastolic_BP,0.2111060998064403
numerical__BMI,0.02361623922053425
numerical__Cholesterol,0.02351178903036068
numerical__Heart_Rate,0.020952188504142048
numerical__Age,0.020679703922636794
numerical__Alcohol,0.003960461229509378
numerical__Smoking,0.0038780124760014138
numerical__Family_History,0.0037819878625005403
categorical__Exercise_Moderate,0.0030477615714916287
categorical__Gender_Female,0.0030246693210637886
categorical__Gender_Male,0.0029931041734788696
categorical__Stress_Level_Moderate,0.002945402459371846
categorical__Exercise_High,0.0029086332110431438
categorical__Salt_Intake_Low,0.0028815127332623685
categorical__Salt_Intake_High,0.002851851426650495
categorical__Salt_Intake_Moderate,0.002823086631565452
categorical__Exercise_Low,0.0027716329597179553
categorical__Stress_Level_Low,0.0026954789123021915
categorical__Stress_Level_High,0.002656616220212114
