feature,importance
numerical__Oxygen_Level,0.38486716
numerical__Systolic_BP,0.30299467
numerical__Diastolic_BP,0.14619094
numerical__BMI,0.011111784
categorical__Stress_Level_High,0.0108572785
numerical__Alcohol,0.010087106
numerical__Age,0.0100428285
numerical__Heart_Rate,0.009825178
categorical__Salt_Intake_Moderate,0.009606259
categorical__Salt_Intake_High,0.009385069
numerical__Cholesterol,0.009253118
categorical__Salt_Intake_Low,0.00925174
numerical__Family_History,0.009219401
categorical__Exercise_Low,0.009147852
categorical__Gender_Male,0.009125738
categorical__Stress_Level_Low,0.008751471
categorical__Gender_Female,0.008625661
categorical__Stress_Level_Moderate,0.008610348
categorical__Exercise_Moderate,0.008461718
numerical__Smoking,0.0075050974
categorical__Exercise_High,0.0070794895
