feature,importance
numerical__Blood_Urea,5915
numerical__eGFR,5867
numerical__Uric_Acid,5568
numerical__Creatinine,4854
numerical__Potassium,4673
numerical__Sodium,3702
numerical__Calcium,3455
numerical__Hemoglobin,3386
numerical__Age,3049
numerical__Fatigue,518
numerical__Hypertension,358
numerical__Appetite_Loss,358
numerical__Swelling,346
categorical__Urine_Protein_+3,313
numerical__Diabetes,303
categorical__Gender_Female,298
categorical__Urine_Protein_+1,229
categorical__Urine_Protein_+2,194
categorical__Urine_Protein_Negative,185
categorical__Urine_Protein_Trace,183
categorical__Gender_Male,143
