feature,importance
numerical__eGFR,0.29551338668519866
numerical__Blood_Urea,0.18254810637075716
numerical__Creatinine,0.13530530398578736
numerical__Uric_Acid,0.11635629471295512
numerical__Potassium,0.11190233150600752
numerical__Sodium,0.027642289808986264
numerical__Hemoglobin,0.02755782752122056
numerical__Calcium,0.02753358430275223
numerical__Age,0.025257563096005457
numerical__Fatigue,0.005203053488013366
numerical__Hypertension,0.0051711935444097145
numerical__Diabetes,0.005101438845905786
numerical__Appetite_Loss,0.0050711508494336
numerical__Swelling,0.004978336624297677
categorical__Gender_Male,0.004154553749114615
categorical__Gender_Female,0.0039511491173891185
categorical__Urine_Protein_+1,0.003561449910560897
categorical__Urine_Protein_+3,0.003348892149105402
categorical__Urine_Protein_+2,0.0033346048252071324
categorical__Urine_Protein_Negative,0.003277404918916705
categorical__Urine_Protein_Trace,0.0032300839879754505
