feature,importance
numerical__eGFR,0.3474088
numerical__Uric_Acid,0.11281904
numerical__Blood_Urea,0.098813094
numerical__Creatinine,0.058470994
numerical__Potassium,0.05703291
numerical__Fatigue,0.02384326
numerical__Hemoglobin,0.022744108
categorical__Gender_Male,0.021989081
categorical__Urine_Protein_+2,0.021492474
numerical__Age,0.021468412
categorical__Urine_Protein_Trace,0.020988198
numerical__Sodium,0.020830804
numerical__Calcium,0.020607116
categorical__Urine_Protein_+1,0.020566542
categorical__Urine_Protein_+3,0.020012852
categorical__Gender_Female,0.019162117
numerical__Swelling,0.018979415
numerical__Hypertension,0.018821876
numerical__Diabetes,0.018617477
numerical__Appetite_Loss,0.018346647
categorical__Urine_Protein_Negative,0.016984763
